epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,683.657,0.7581,1.59995,1.34204,0.48944,0.93342,0.5519,0.39232,1.00908,1.25665,1.91462,0.000659649,0.000659649,0.0676772
2,1507.39,0.7898,1.33472,1.37292,0.50294,0.90789,0.62064,0.4552,0.91344,1.27833,1.68114,0.00131975,0.00131975,0.035004
3,2286.24,0.79457,1.24188,1.35203,0.54236,0.87887,0.73032,0.46766,0.988,1.39111,1.74267,0.00197325,0.00197325,0.00232413
4,3078.21,0.78168,1.20931,1.35964,0.49172,0.65789,0.61643,0.35571,1.2458,1.60639,1.86972,0.0019703,0.0019703,0.0019703
5,3880.44,0.74544,1.16493,1.33818,0.72257,0.79733,0.84072,0.59498,0.94184,1.07158,1.71887,0.0019604,0.0019604,0.0019604
6,4654.31,0.77956,1.13793,1.3593,0.56707,0.84211,0.77547,0.55112,0.95901,1.57911,1.73711,0.0019505,0.0019505,0.0019505
7,5444.45,0.77801,1.13202,1.36333,0.58188,0.86184,0.77849,0.51871,1.07056,1.23691,1.77461,0.0019406,0.0019406,0.0019406
8,6231.59,0.77563,1.1392,1.34653,0.52568,0.78947,0.62371,0.41338,1.10171,1.22102,2.13842,0.0019307,0.0019307,0.0019307
9,7013.12,0.75168,1.10223,1.34375,0.61763,0.85699,0.84136,0.628,0.85312,1.05547,1.54696,0.0019208,0.0019208,0.0019208
10,7814.85,0.76373,1.10609,1.34609,0.7172,0.73026,0.79176,0.51404,1.12423,1.12998,1.78705,0.0019109,0.0019109,0.0019109
11,8593.75,0.76628,1.07785,1.33202,0.57434,0.85526,0.73144,0.51467,0.93722,1.02967,1.66803,0.001901,0.001901,0.001901
12,9372.33,0.72694,1.05041,1.31985,0.65746,0.89445,0.87581,0.65341,0.89039,0.96835,1.56363,0.0018911,0.0018911,0.0018911
13,10152.2,0.71508,1.04209,1.30479,0.71988,0.82851,0.87846,0.5791,0.97976,0.9333,1.76392,0.0018812,0.0018812,0.0018812
14,10927.9,0.70435,1.00221,1.30467,0.73758,0.86842,0.89111,0.69492,0.79264,0.86765,1.51043,0.0018713,0.0018713,0.0018713
15,11698.9,0.68464,0.99777,1.27535,0.72546,0.78094,0.85214,0.5973,0.90925,0.95922,1.56258,0.0018614,0.0018614,0.0018614
16,12479.8,0.72613,1.04397,1.3154,0.78814,0.78187,0.85435,0.55482,0.94417,0.88631,1.79613,0.0018515,0.0018515,0.0018515
17,13251.1,0.71213,1.03028,1.31094,0.60223,0.91447,0.84502,0.62461,0.89857,1.02752,1.65079,0.0018416,0.0018416,0.0018416
18,14025.1,0.70673,0.99982,1.29002,0.70642,0.81579,0.83618,0.62008,0.89931,0.9327,1.60367,0.0018317,0.0018317,0.0018317
19,14798.7,0.66094,0.99622,1.27273,0.81074,0.78861,0.87657,0.62283,0.87325,0.89492,1.62726,0.0018218,0.0018218,0.0018218
20,15588.6,0.66472,0.96545,1.27211,0.72283,0.83361,0.86943,0.66822,0.80444,0.86116,1.4783,0.0018119,0.0018119,0.0018119
21,16365.3,0.68457,0.95058,1.28012,0.68792,0.86059,0.88971,0.68848,0.78346,0.9249,1.48232,0.001802,0.001802,0.001802
22,17144.3,0.69165,0.92777,1.28818,0.76982,0.88816,0.88977,0.69046,0.74545,0.76502,1.40913,0.0017921,0.0017921,0.0017921
23,17911.2,0.68772,0.95781,1.28239,0.75671,0.78947,0.85654,0.58997,0.95189,0.94224,1.60917,0.0017822,0.0017822,0.0017822
24,18684.8,0.66815,0.91661,1.26197,0.79355,0.89143,0.90981,0.67615,0.85839,0.74105,1.55009,0.0017723,0.0017723,0.0017723
25,19450.4,0.65775,0.92628,1.26769,0.68259,0.89016,0.87738,0.64215,0.83372,0.8483,1.51495,0.0017624,0.0017624,0.0017624
26,20224.2,0.66306,0.90563,1.24999,0.81456,0.89474,0.92893,0.72417,0.76907,0.68696,1.43846,0.0017525,0.0017525,0.0017525
27,20997.9,0.65952,0.90193,1.24724,0.80647,0.88816,0.89208,0.69934,0.73733,0.75336,1.40663,0.0017426,0.0017426,0.0017426
28,21768.5,0.6504,0.88189,1.25323,0.81114,0.89108,0.92573,0.72527,0.74743,0.71312,1.4039,0.0017327,0.0017327,0.0017327
29,22536.7,0.63092,0.89539,1.25613,0.75583,0.91995,0.91259,0.73361,0.76142,0.72798,1.42956,0.0017228,0.0017228,0.0017228
