epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.043,0.96027,2.17585,1.42058,0.8392,0.53571,0.77247,0.58337,0.62666,3.02993,1.43934,0.00034,0.00034,0.00034
2,363.614,0.99189,1.70762,1.50186,0.90755,0.35107,0.79291,0.38506,1.18958,3.13402,2.0269,0.00069538,0.00069538,0.00069538
3,478.51,1.01592,1.56615,1.45158,0.46415,0.39286,0.43729,0.24365,1.08112,3.17901,1.88935,0.00104601,0.00104601,0.00104601
4,605.437,1.09465,1.61618,1.5006,0.60571,0.71429,0.70419,0.2825,1.60532,2.93571,2.41919,0.00139188,0.00139188,0.00139188
5,755.617,1.13943,1.6051,1.56953,0.62217,0.64286,0.62411,0.23892,1.51799,3.43431,2.87736,0.00173301,0.00173301,0.00173301
6,905.015,1.04566,1.60193,1.46888,0.56053,0.59247,0.57269,0.22895,1.55954,4.81028,3.20624,0.001934,0.001934,0.001934
7,1055.9,1.21133,1.6167,1.57195,0.35119,0.32143,0.22609,0.08671,2.32284,3.67175,4.12779,0.0019208,0.0019208,0.0019208
8,1211.17,1.24196,1.60706,1.6201,0.53521,0.53571,0.57024,0.25082,1.55691,3.53534,3.37151,0.0019076,0.0019076,0.0019076
9,1363.89,1.13548,1.4994,1.57986,0.51397,0.75,0.62,0.27722,1.51568,3.10993,2.89577,0.0018944,0.0018944,0.0018944
10,1514.97,1.25693,1.56502,1.6213,0.63178,0.64286,0.68222,0.34088,1.59134,2.71974,2.89819,0.0018812,0.0018812,0.0018812
11,1665.6,1.20742,1.35695,1.578,0.33892,0.57143,0.39338,0.20326,1.48492,3.12248,2.37106,0.001868,0.001868,0.001868
12,1815,1.21465,1.33756,1.65033,0.33544,0.57143,0.3989,0.15654,1.56454,3.02382,2.42171,0.0018548,0.0018548,0.0018548
13,1969.03,1.16792,1.36374,1.5457,0.77418,0.53571,0.64462,0.345,1.61043,2.27401,2.36697,0.0018416,0.0018416,0.0018416
14,2119.76,1.08058,1.24273,1.43243,0.66237,0.77098,0.68077,0.40697,1.23723,1.89554,2.10948,0.0018284,0.0018284,0.0018284
15,2274.84,1.02724,1.14533,1.48046,0.28257,0.45032,0.28124,0.16662,1.36183,2.3561,2.2761,0.0018152,0.0018152,0.0018152
16,2426.17,1.13498,1.18629,1.52866,0.68228,0.75,0.74533,0.44962,1.40974,1.70033,2.28296,0.001802,0.001802,0.001802
17,2578.49,1.03805,1.25064,1.43926,0.73465,0.82143,0.80796,0.4178,1.4309,1.8669,2.5105,0.0017888,0.0017888,0.0017888
18,2732.14,1.20423,1.30209,1.60643,0.78942,0.80364,0.77168,0.33529,1.71999,1.92502,2.82084,0.0017756,0.0017756,0.0017756
19,2885.66,1.09079,1.24265,1.50126,0.8336,0.82143,0.86951,0.41662,1.58286,1.68242,2.52796,0.0017624,0.0017624,0.0017624
20,3039.14,1.1628,1.20488,1.53276,0.70392,0.82143,0.84224,0.51527,1.43284,1.36205,2.39861,0.0017492,0.0017492,0.0017492
21,3192.77,0.98887,1.08638,1.41502,0.84174,0.64286,0.82272,0.47309,1.51495,1.48232,2.46719,0.001736,0.001736,0.001736
22,3348.18,1.01511,1.00993,1.40876,0.38912,0.82143,0.48958,0.23658,1.36913,1.95832,2.18256,0.0017228,0.0017228,0.0017228
23,3500.08,0.95722,1.05158,1.40451,0.61304,0.42857,0.43281,0.20255,1.39733,2.11708,2.18896,0.0017096,0.0017096,0.0017096
24,3653.41,1.11524,1.20683,1.51117,0.66543,0.92353,0.85579,0.44743,1.30827,1.45892,2.06522,0.0016964,0.0016964,0.0016964
25,3806.46,1.01163,1.14864,1.47964,0.89281,0.89241,0.96095,0.60029,1.07586,1.2243,1.8702,0.0016832,0.0016832,0.0016832
26,3959.22,1.0712,1.01691,1.47515,0.84156,0.82143,0.86593,0.5317,1.34316,1.30585,2.2008,0.00167,0.00167,0.00167
27,4114.6,1.00424,1.02454,1.42021,0.68735,0.78571,0.7503,0.46118,1.28122,1.50072,2.11302,0.0016568,0.0016568,0.0016568
28,4269.23,1.02032,1.11785,1.46695,0.75466,0.87913,0.89462,0.52671,1.32932,1.43704,2.22418,0.0016436,0.0016436,0.0016436
29,4422.21,0.9772,1.05676,1.42384,0.85886,0.96429,0.96158,0.62042,1.20293,1.26652,1.96731,0.0016304,0.0016304,0.0016304
30,4575.96,0.9494,0.94749,1.34535,0.90963,0.78571,0.88384,0.52079,1.26777,1.31015,1.97185,0.0016172,0.0016172,0.0016172
31,4701.28,0.95606,0.94321,1.39495,0.82513,0.85714,0.89785,0.55239,1.21065,1.32266,2.00449,0.001604,0.001604,0.001604
32,4828.66,0.9382,0.95121,1.40642,0.92565,0.88943,0.89718,0.58731,1.20672,1.22728,2.0862,0.0015908,0.0015908,0.0015908
33,4979.87,1.04495,1.01011,1.46618,0.96137,0.88884,0.93283,0.56122,1.23722,1.09235,2.08282,0.0015776,0.0015776,0.0015776
34,5137.23,1.05955,0.98725,1.45208,0.96952,0.82143,0.94601,0.62735,1.20655,1.04466,1.93747,0.0015644,0.0015644,0.0015644
35,5290.85,0.9764,0.97548,1.4291,0.87833,0.89286,0.90451,0.4167,1.48827,1.29829,2.24275,0.0015512,0.0015512,0.0015512
36,5444.57,0.92752,0.99424,1.39788,0.85736,0.89286,0.89376,0.56004,1.31017,1.1917,2.10327,0.001538,0.001538,0.001538
37,5598.49,1.00163,0.9621,1.43793,0.94489,0.82143,0.91894,0.56537,1.23633,1.1891,1.91662,0.0015248,0.0015248,0.0015248
38,5756.18,0.92866,0.90714,1.34757,0.90804,0.75,0.89195,0.54798,1.15279,1.27163,1.85993,0.0015116,0.0015116,0.0015116
39,5908.82,0.91039,0.8745,1.35296,0.75065,0.75268,0.78097,0.51202,1.14323,1.26203,1.87805,0.0014984,0.0014984,0.0014984
40,6039.57,0.93795,0.90719,1.41179,0.90101,1,0.96878,0.64412,1.03653,1.02529,1.75572,0.0014852,0.0014852,0.0014852
41,6156.19,0.94334,0.93514,1.41676,0.91572,0.92857,0.96777,0.66489,1.02293,0.98044,1.73534,0.001472,0.001472,0.001472
