epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2262.98,0.98743,3.06789,0.63231,0.87528,1.52181,0.60122,0.80405,0.60196,0.32762,0.40022,0.45088,0.25318,0.07514,1.51946,4.75707,0.84314,1.20902,2.87771,0.000659574,0.000659574,0.0676809
2,4426.58,1.06514,2.56737,0.57078,0.92844,1.58533,0.4945,0.62838,0.5305,0.24887,0.53645,0.72719,0.58931,0.25384,1.73819,3.21744,0.72612,1.90786,2.50839,0.00131968,0.00131968,0.0350076
3,6548.41,1.05888,2.37992,0.51896,0.92527,1.57685,0.46019,0.55405,0.41989,0.08166,0.52719,0.59459,0.4992,0.19594,3.05639,3.47474,0.4744,2.65461,4.70516,0.00197318,0.00197318,0.00232779
4,8761.62,1.08047,2.27614,0.49905,0.97414,1.60474,0.61939,0.74324,0.68847,0.26732,0.50994,0.61486,0.47875,0.19098,2.06937,3.17679,0.48084,1.52989,2.88311,0.0019703,0.0019703,0.0019703
5,11078.2,0.97114,2.20675,0.48844,0.86801,1.53023,0.67478,0.78378,0.75913,0.41919,0.57449,0.67568,0.61078,0.29171,1.3851,3.08696,0.37099,1.34145,2.24063,0.0019604,0.0019604,0.0019604
6,13366.5,0.96218,2.22335,0.45977,0.88323,1.50927,0.87399,0.93728,0.94986,0.65011,0.7532,0.75676,0.67417,0.32818,1.08154,2.60631,0.63964,0.78944,1.97792,0.0019505,0.0019505,0.0019505
7,15663.4,0.94769,2.10352,0.46258,0.83974,1.49046,0.90932,0.88081,0.92091,0.57633,0.81198,0.78786,0.76387,0.33465,1.20966,2.57859,0.46868,0.7338,2.18424,0.0019406,0.0019406,0.0019406
8,17934.3,0.93739,2.11101,0.4475,0.85786,1.48255,0.9213,0.91892,0.96523,0.64799,0.78328,0.78145,0.75644,0.27908,1.04599,2.62003,0.39611,0.73032,1.95459,0.0019307,0.0019307,0.0019307
9,19643.8,0.90841,1.91223,0.44329,0.84368,1.45525,0.86995,0.87162,0.91733,0.50069,0.77017,0.75,0.7337,0.37591,1.28245,2.59469,0.97606,0.97116,2.2065,0.0019208,0.0019208,0.0019208
10,21327.1,0.92329,1.94894,0.43697,0.77669,1.46163,0.75382,0.78622,0.84332,0.52489,0.71926,0.70974,0.74095,0.35862,1.27951,2.54041,0.66528,1.03784,2.11491,0.0019109,0.0019109,0.0019109
11,23009.4,0.90333,1.92519,0.43213,0.799,1.45945,0.89566,0.92806,0.97648,0.6741,0.78659,0.85811,0.78258,0.40657,1.06879,2.18773,0.50213,0.75233,1.85403,0.001901,0.001901,0.001901
